type,Count,AvgCO2Tons,AvgCO2KGSQFT
College/University,33,7397,11
Multifamily Housing,322,5393,17
Mixed Use Property,12,4173,11
Office,449,2646,14
Hotel,72,2595,11
Other,89,2566,10
Supermarket/Grocery,6,1376,26
Medical Office,7,1107,11
Worship Facility,10,981,6
K12 School,11,662,6
